host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
60,1,0,104.7399,2,0,0,2.4,6.6,15.2,6,106.4,-103.8,14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
61,4,0,Inf,5,0,0,Null,6.6,15.2,6,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
61,1,0,Inf,2,0,0,2.4,6.6,15.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
61,1,0,163.8255,2,0,0,2.6,6.6,Null,6,Inf,Inf,Inf,156.8,-163.4,11.8,Null,Null,Null,Inf,Inf,Inf
59,1,0,237.7341,2,-1,0,2.6,6.4,Null,6,240,-237.4,12.6,442.8,-449,-7.6,Null,Null,Null,Inf,Inf,Inf
59,1,0,216.3443,2,-1,0,2.6,6.6,Null,6,218.6,-216,12.2,404.2,-410.8,1.2,Null,Null,Null,Inf,Inf,Inf
60,1,0,221.8534,2,-1,0,2.6,6.6,Null,Null,224.2,-221.6,10.6,236.4,-243,4.6,Null,Null,Null,Null,Null,Null
60,1,0,227.2381,2,-1,-1,2.6,6.6,2.4,Null,229.6,-227,10.4,171,-177.6,6,Inf,Inf,Inf,Null,Null,Null
58,1,0,195.2666,2,-1,-1,2.6,6.6,2.4,6,197.6,-195,10.2,247,-253.4,-1.4,Inf,Inf,Inf,Inf,Inf,Inf
59,1,0,84.5451,2,-1,-1,2.6,6.6,2.6,6,86.6,-83.8,11.2,159.2,-165.8,5.4,Inf,Inf,Inf,Inf,Inf,Inf
59,1,0,175.2742,2,-1,-1,2.6,6.6,2.6,6,177.6,-175,9.8,223.8,-230.2,-2.6,Inf,Inf,Inf,Inf,Inf,Inf
60,1,0,176.5999,2,-1,-1,2.6,6.6,2.6,6,179,-176.4,8.4,147.6,-154.2,1.8,Inf,Inf,Inf,Inf,Inf,Inf
57,1,0,186.667,2,-1,-1,2.8,6.6,2.6,6,189.4,-186.6,5,264.2,-270,-12.6,Inf,Inf,Inf,Inf,Inf,Inf
58,1,0,162.9504,2,-1,-1,2.8,6.8,2.6,5.8,165.6,-162.8,7,140.2,-147,2.4,Inf,Inf,Inf,Inf,Inf,Inf
58,1,0,153.9503,2,-1,-1,2.8,6.8,2.6,5.8,156.6,-153.8,6.8,201.4,-207.8,-6,Inf,Inf,Inf,Inf,Inf,Inf
56,1,0,166.8691,2,-1,-1,2.8,6.8,2.6,5.8,169.6,-166.8,4.8,191.4,-197.6,-6.8,Inf,Inf,Inf,Inf,Inf,Inf
56,1,0,148.7211,2,-1,-1,2.8,6.8,2.6,5.8,151.4,-148.6,6,482.6,-486.8,-41.6,Inf,Inf,Inf,Inf,Inf,Inf
56,1,0,124.964,2,-1,-1,2.8,7,2.6,5.8,127.6,-124.8,6.4,139.2,-146,-0.2,Inf,Inf,Inf,Inf,Inf,Inf
57,1,0,144.8863,2,-1,-1,2.8,7,2.8,6,147.6,-144.8,5,488.8,-492.2,-50.2,Inf,Inf,Inf,Inf,Inf,Inf
57,1,0,155.4252,2,-1,-1,2.8,7.2,2.8,6,158.2,-155.4,2.8,151,-157.6,-4,Inf,Inf,Inf,Inf,Inf,Inf
55,1,0,172.601,2,-1,-1,2.8,7.2,2.8,6,175.4,-172.6,0.6,181,-187.2,-10.2,463.2,-460.4,2.2,Inf,Inf,Inf
56,1,0,119.0968,2,-1,-1,2.8,7.4,2.8,6,121.8,-119,4.8,112.2,-119.4,0.6,Inf,Inf,Inf,Inf,Inf,Inf
56,1,0,152.0033,2,-1,-1,2.8,7.4,2.8,6,154.8,-152,1,135,-142,-1.6,415.6,-412.8,0.8,Inf,Inf,Inf
56,1,0,113.1019,2,-1,-1,2.8,7.4,2.8,6,115.8,-113,4.8,135.2,-141.8,-5.6,390.8,-388,0,Inf,Inf,Inf
54,1,0,128.6263,2,-1,-1,2.8,7.6,2.8,6,131.4,-128.6,2.6,92.2,-99.4,1,445.4,-442.6,1,Inf,Inf,Inf
54,1,0,117.2384,2,-1,-1,2.8,7.6,2.8,6,120,-117.2,3,163.2,-169.8,-8.6,508.8,-505.8,8.6,27.4,19.8,-20.6
54,1,0,113.2397,2,-1,-1,2.8,7.8,2.8,Null,116,-113.2,3,139.8,-146.8,-5,248.2,-245.4,-1.8,Null,Null,Null
55,1,0,101.4954,2,-1,-1,2.8,7.8,2.8,6.2,104.2,-101.4,4.4,214,-220,-18,251,-248.2,-1.4,444.2,-450.4,-2.2
55,1,0,101.6868,2,-1,-1,2.8,7.8,2.8,6.2,104.4,-101.6,4.2,222.2,-228,-20,235,-232.2,-1.8,372.4,-378.6,0.8
53,1,0,96.3629,2,-1,-1,2.8,7.8,2.8,6.2,99,-96.2,5.6,120,-127.2,-1.8,247.6,-244.8,-1.4,202.8,-209,-7.8
53,1,0,112.63,2,-1,-1,2.8,7.8,2.8,6.4,115.4,-112.6,2.6,126,-133,-4,528.4,-525.2,18.4,431.2,-437.4,4.2
53,1,0,100.896,2,-1,-1,2.8,7.8,2.8,6.4,103.6,-100.8,4.4,126,-133.2,-3.6,326.2,-323.2,7.8,201.4,-207.8,-6.6
53,1,0,107.6314,2,-1,-1,2.8,8,2.8,6.4,110.4,-107.6,2.6,221.4,-228,-15.4,322.6,-319.6,9.4,1870,1859,-144
54,1,0,203.4004,2,-1,-1,3,8,2.8,6.6,99,-96,4.4,111,-118.4,-1,206.2,-203.4,0.4,407.2,-413.6,5.8
54,1,0,178.4091,2,-1,-1,3,8.2,2.8,6.6,105.2,-102.2,2.8,85.4,-93.4,3.8,181.2,-178.4,-1.8,158.6,-165.2,-8.4
52,1,0,251.292,2,-1,-1,3,8.2,2.8,6.6,100.2,-97.2,3.8,88.8,-96.6,2.8,254.2,-251.2,6.8,398.8,-405,8.6
52,1,0,141.8457,2,-1,-1,3,8.4,2.8,6.8,96,-93,4.4,65.8,-74,7.6,144.6,-141.8,-3.6,340,-346.4,5.6
53,1,0,146.4137,2,-1,-1,3,8.4,2.8,6.8,97.6,-94.6,4,176.8,-182.6,-16.6,149.2,-146.4,-2,19.6,11,-20
53,1,0,96.3747,2,-1,-1,3,8.6,2.8,Null,96.8,-93.8,4,87.4,-95.2,3.2,99,-96.2,-5.8,Null,Null,Null
53,1,0,174.0115,3,-1,-1,3,9,2.8,Null,97.2,-94.2,3.4,59.2,-67.8,9.4,177,-174,2,Null,Null,Null
53,1,0,181.2089,3,-1,-1,3,9.2,2.8,6.8,92.6,-89.6,4,100.8,-108,-1.8,184,-181.2,1.8,440.4,-445.8,23
52,1,0,91.2634,2,-1,-1,3,Null,3,6.8,94.2,-91.2,3.4,Null,Null,Null,219.8,-216.4,8.4,406,-411.4,22.4
53,1,0,91.6491,2,-1,-1,3,Null,3,7,94.6,-91.6,3,Null,Null,Null,206.6,-203.4,6.2,94.4,-101.4,-10.4
51,1,0,96.6075,2,-1,-1,3,Null,3,7,99.6,-96.6,1.2,Null,Null,Null,150.8,-147.8,0.6,106.2,-113.2,-9.6
52,1,0,90.0435,2,-1,-1,3,Null,3,7,93,-90,2.8,Null,Null,Null,157.8,-154.8,0.6,103.6,-110.6,-10
52,1,0,96.8033,2,-1,-1,3,Null,3,7,99.8,-96.8,0.8,Null,Null,Null,138.2,-135.2,-2,186.4,-193.2,-0.4
52,1,0,91.2219,2,-1,-1,3,Null,3,7,94.2,-91.2,2,Null,Null,Null,123,-120,-4,156.2,-163,-2.8
52,1,0,95.6019,2,-1,-1,3,Null,3,7,98.6,-95.6,0.6,Null,Null,Null,151.4,-148.4,-0.2,292.4,-298.4,12.4
52,1,0,96.2033,2,-1,-1,3,Null,3,7,99.2,-96.2,0.8,Null,Null,Null,154.6,-151.6,0.2,154.6,-161.4,-2
51,1,0,95.4002,2,-1,-1,3,Null,3,7,98.4,-95.4,0.2,Null,Null,Null,147.6,-144.6,-0.6,119.8,-126.8,-5.2
51,1,0,95.8002,2,-1,-1,3,Null,3,7.2,98.8,-95.8,0.2,Null,Null,Null,114,-111,-4.4,74.4,-81.6,-10.6
52,1,0,102.6096,2,-1,-1,3,Null,3,7.2,105.8,-102.6,-1.4,Null,Null,Null,145.6,-142.6,0,100.4,-107.6,-7.8
52,1,0,97.6008,2,-1,-1,3,Null,3,7.2,100.6,-97.6,-0.4,Null,Null,Null,120.6,-117.6,-3.8,96.2,-103.4,-7.8
