host_v(km/h),host_#L,LC,host_rad(m),LN,FRT,BRT,D_fr(m),D_fl(m),D_br(m),D_bl(m),Rad_fr(m),CC_frx(m),CC_fry(m),Rad_fl(m),CC_flx(m),CC_fly(m),Rad_br(m),CC_brx(m),CC_bry(m),Rad_bl(m),CC_blx(m),CC_bly(m)
68,2,0,3142.205,3,0,0,6.2,7,Null,6.2,Inf,Inf,Inf,3135.2,-3142.2,-5.6,Null,Null,Null,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,7,Null,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf
67,2,0,7794.5096,3,0,0,6.4,7,6,6.2,Inf,Inf,Inf,7801,7793,153.4,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,7,6.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,2239.5386,3,0,0,6.4,6.8,6.2,6.2,Inf,Inf,Inf,2245.4,2238,83,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,6.8,6.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,7,6.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,60.3036,2,0,0,6.4,2.8,6.2,6.2,Inf,Inf,Inf,62.4,59.4,10.4,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,2,0,0,6.4,2.8,6.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
68,2,0,Inf,2,0,0,6.4,2.8,6.2,6.2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
69,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6.2,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.6,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,7.2,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,7.2,6.2,6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
67,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.6,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
68,2,0,Inf,3,0,0,6.4,Null,6.2,6,Inf,Inf,Inf,Null,Null,Null,Inf,Inf,Inf,Inf,Inf,Inf
